Firm,Period,ICB Sector,ROA,ROE,TA,Total Liabilities,OI_GROWTH,REV_GROWTH,Treated,After
YULE.JK,2019Q2,Investment Banking and Brokerage Services,0.811709944,0.821025463,3.82978E+11,4185210590,321.0407204,-38.7173913,1,1
ZINC.JK,2019Q2,Industrial Metals and Mining,4.004027402,7.852383399,1.30021E+12,6.78318E+11,45.93197141,24.03658396,1,1
AALI.JK,2018Q2,Food Producers,1.689546944,2.312828037,2.68358E+13,8.3484E+12,57.95745056,12.81282649,0,0
ABBA.JK,2018Q2,Industrial Support Services,-7.515889361,-22.06972933,4.28226E+11,3.18741E+11,-65.58369735,-14.07237165,1,0
ABMM.JK,2018Q2,"Oil, Gas and Coal",0.708811535,3.777518366,1.43456E+13,1.17824E+13,-9.618847316,12.75992591,0,0
ACES.JK,2018Q2,Retailers,4.622061978,5.775129298,4.67116E+12,9.16064E+11,2.822785786,21.54219331,1,0
ACST.JK,2018Q2,Construction and Materials,0.531589004,2.38629792,7.06303E+12,5.61971E+12,126.4340501,79.15174776,0,0
ADES.JK,2018Q2,Beverages,0.939307918,1.826829127,8.62764E+11,4.14476E+11,11.54025998,-2.518401304,0,0
ADHI.JK,2018Q2,Construction and Materials,0.519814856,2.349135359,2.65036E+13,2.0566E+13,18.94087347,0.179165936,0,0
ADMF.JK,2018Q2,Finance and Credit Services,1.447092133,7.074456224,2.97541E+13,2.37739E+13,12.27460262,11.42739818,0,0
ADMG.JK,2018Q2,Chemicals,2.144506493,2.959979834,4.46476E+12,1.86954E+12,-19.71629552,35.28094261,0,0
ADRO.JK,2018Q2,"Oil, Gas and Coal",2.013126642,3.407875173,9.71819E+13,4.40916E+13,-8.231161293,10.587916,0,0
AGII.JK,2018Q2,Chemicals,0.247955183,0.455708988,6.55914E+12,3.39174E+12,5.510692884,4.506238188,0,0
AKKU.JK,2018Q2,General Industrials,-0.181805117,-0.26858949,1.12564E+12,3.67504E+11,468.4650988,-89.29661628,1,0
AKPI.JK,2018Q2,Chemicals,-0.183032177,-0.457537686,3.03082E+12,1.69579E+12,-1.780977657,15.73236712,0,0
AKRA.JK,2018Q2,"Oil, Gas and Coal",0.918120804,2.19614909,1.92544E+13,1.09116E+13,-45.84250855,10.26521061,0,0
AKSI.JK,2018Q2,Investment Banking and Brokerage Services,-5.636392843,-8.795155166,1.58975E+11,37122914190,1038.638992,-34.67414111,1,0
ALDO.JK,2018Q2,Household Goods and Home Construction,1.457977569,3.589579711,5.35347E+11,3.60144E+11,46.54564574,54.4367148,0,0
ALKA.JK,2018Q2,Industrial Metals and Mining,3.277016383,14.40492622,3.79224E+11,3.1845E+11,693.8379348,169.3570515,1,0
ALTO.JK,2018Q2,Food Producers,-1.486969358,-4.119898718,1.09759E+12,7.025E+11,-171.199041,7.240433617,0,0
AMFG.JK,2018Q2,General Industrials,-0.795571784,-1.584296398,7.49358E+12,3.97774E+12,-571.5007069,12.32077492,1,0
AMIN.JK,2018Q2,Household Goods and Home Construction,2.279900981,4.523033176,3.78494E+11,1.87927E+11,2.099879559,2.489538578,0,0
AMRT.JK,2018Q2,"Personal Care, Drug and Grocery Stores",0.450227811,1.860000684,2.25779E+13,1.72428E+13,30.12122512,8.247425572,0,0
ANJT.JK,2018Q2,Food Producers,0.324541268,0.492229463,8.30198E+12,2.71655E+12,-250.3380535,26.90454408,0,0
ANTM.JK,2018Q2,Industrial Metals and Mining,0.315771358,0.525703894,3.13372E+13,1.24963E+13,-666.6611345,347.2964607,1,0
APIC.JK,2018Q2,Investment Banking and Brokerage Services,-1.252612646,-1.904763095,2.60557E+12,1.25163E+12,780.7362561,-50.42066189,1,0
APII.JK,2018Q2,Electronic and Electrical Equipment,0.759487497,1.265830466,4.28724E+11,1.70932E+11,89.4370898,19.24229838,1,0
APLI.JK,2018Q2,General Industrials,-1.218772699,-2.17938786,3.88597E+11,1.71843E+11,158.5897207,3.210874427,1,0
APLN.JK,2018Q2,Real Estate Investment and Services Development,0.345193545,0.474750879,2.87777E+13,1.97266E+13,14.00616023,-58.38159721,1,0
ARII.JK,2018Q2,"Oil, Gas and Coal",-0.363817863,-1.324235759,4.791E+12,3.93328E+12,-260.3622198,136.2489816,0,0
ARNA.JK,2018Q2,Construction and Materials,1.854618943,3.079981388,1.59182E+12,5.97485E+11,23.00120415,14.80719236,0,0
ARTA.JK,2018Q2,Investment Banking and Brokerage Services,-0.510153809,-0.067732428,3.85585E+11,2.01856E+11,269.7027431,-4.093891834,1,0
ARTI.JK,2018Q2,Household Goods and Home Construction,0.134091555,0.044160304,2.54927E+12,8.43189E+11,231.9159404,67.80633269,0,0
ASGR.JK,2018Q2,Technology Hardware & Equipment,2.529874541,3.928312709,2.18401E+12,8.44648E+11,33.54320941,83.53450649,0,0
