Firm,Period,ICB Sector,ROA,ROE,TA,Total Liabilities,FCF,OI_GROWTH,REV_GROWTH,Treated,After,Balanced
GPRA.JK,2019Q2,Real Estate Investment and Services Development,0.403128435,0.320975637,1.541E+12,5.43684E+11,22740656680,73.9435891,-43.38041313,1,1,TRUE
GWSA.JK,2019Q2,Real Estate Investment and Services Development,0.325246844,0.360367011,7.51413E+12,6.44317E+11,18041054530,-28.808369,-15.83283516,1,1,TRUE
HEXA.JK,2019Q2,Industrial Engineering,2.632902394,5.218627131,4.84145E+12,2.32211E+12,1.34695E+11,-34.089192,-42.14333096,1,1,TRUE
HMSP.JK,2019Q2,Tobacco,6.98967116,10.37859929,4.31126E+13,1.4628E+13,3.67738E+12,8.574038817,13.05889029,1,1,TRUE
HRUM.JK,2019Q2,"Oil, Gas and Coal",1.637570718,2.036924736,6.2107E+12,1.84583E+12,1.39503E+11,-1.54979272,-6.775549352,0,1,TRUE
ICBP.JK,2019Q2,Food Producers,3.549090006,5.395042606,3.73682E+13,1.33402E+13,1.061E+12,32.68038572,-3.386620669,0,1,TRUE
ICON.JK,2019Q2,Real Estate Investment and Services Development,0.816825645,1.538877769,3.86697E+11,2.3585E+11,1382650800,4315.355278,5.576173842,1,1,TRUE
INAF.JK,2019Q2,Pharmaceuticals and Biotechnology,-0.184450718,-0.545644053,1.39985E+12,9.27558E+11,1000786520,-148.9673111,70.65551961,0,1,TRUE
INCI.JK,2019Q2,Chemicals,0.57052423,0.668167774,3.78946E+11,57666345110,1594019400,219.9284311,-9.187355658,0,1,TRUE
INDF.JK,2019Q2,Food Producers,1.331966957,3.40891939,9.73677E+13,6.29051E+13,1.19497E+12,9.642605908,1.406135888,0,1,TRUE
INDR.JK,2019Q2,Personal Goods,0.314093674,0.649924915,1.0886E+13,5.6705E+12,63168977500,-83.68571689,-6.525463277,1,1,TRUE
INDS.JK,2019Q2,Automobiles and Parts,0.030540981,0.035958349,2.51612E+12,2.73274E+11,703586910,4504.504011,-22.30528888,1,1,TRUE
INDY.JK,2019Q2,"Oil, Gas and Coal",0.151420674,0.102994761,5.02924E+13,3.73439E+13,2.76431E+11,-33.58006343,-3.749489218,0,1,TRUE
INKP.JK,2019Q2,Industrial Materials,0.836367204,1.908081134,1.24871E+14,7.0403E+13,1.73351E+12,-21.69884002,2.112088952,1,1,TRUE
IPOL.JK,2019Q2,General Industrials,0.397373356,0.693854487,3.95936E+12,1.89011E+12,54128445150,-32.43678696,-8.668780111,1,1,TRUE
ISAT.JK,2019Q2,Telecommunications Service Providers,-0.073142201,-0.362600229,5.58625E+13,4.50224E+13,2.48413E+11,135.5621705,3.294667495,0,1,TRUE
ITMA.JK,2019Q2,"Oil, Gas and Coal",2.970949399,2.974859039,1.95534E+12,4177599750,71255415000,-25.75391631,-0.772743238,0,1,TRUE
ITMG.JK,2019Q2,"Oil, Gas and Coal",2.146462432,3.561307176,1.87044E+13,6.1397E+12,3.80951E+11,-23.86113356,-3.696609803,0,1,TRUE
JECC.JK,2019Q2,Technology Hardware & Equipment,1.393481229,4.59477585,1.98638E+12,1.44901E+12,9138263000,-22.68972418,-2.21726258,0,1,TRUE
JIHD.JK,2019Q2,Real Estate Investment and Services Development,0.294030534,-0.031699614,6.59197E+12,3.02236E+12,43374375000,-86.94364746,-12.18791227,1,1,TRUE
JRPT.JK,2019Q2,Real Estate Investment and Services Development,2.30989188,3.802425778,1.10265E+13,4.47596E+12,2.53316E+11,10.3328664,9.044898482,1,1,TRUE
KICI.JK,2019Q2,Household Goods and Home Construction,-0.586167748,-0.971011173,1.54135E+11,62184082600,222495710,-18.55504387,-9.593442992,0,1,TRUE
KLBF.JK,2019Q2,Pharmaceuticals and Biotechnology,3.552581494,4.437832311,1.88131E+13,4.14816E+12,2.99302E+11,13.22482743,8.342992585,0,1,TRUE
KMTR.JK,2019Q2,Automobiles and Parts,1.600153266,4.0265854,4.74286E+12,2.94992E+12,73770707430,-229201.3402,21.77208895,1,1,TRUE
KRAH.JK,2019Q2,Industrial Engineering,-9.816841426,-40.30095783,6.45953E+11,4.12574E+11,4068340320,57.62877267,-60.65627368,1,1,TRUE
LION.JK,2019Q2,Industrial Metals and Mining,0.377774612,0.540312081,6.78741E+11,2.13662E+11,4949019510,-167.6957509,-3.346867121,1,1,TRUE
LPPF.JK,2019Q2,Retailers,19.44525933,58.47022366,5.2203E+12,3.48429E+12,84962000000,-160.3120237,108.7266179,1,1,TRUE
LSIP.JK,2019Q2,Food Producers,0.374256673,0.462768309,1.03252E+13,1.95954E+12,22855000000,-160.8890902,-19.03010926,0,1,TRUE
LTLS.JK,2019Q2,Chemicals,1.129132007,3.062200859,6.19256E+12,4.30535E+12,61464000000,1.777979762,-12.63221928,0,1,TRUE
