Firm,Period,ICB Sector,ROA,ROE,TA,Total Liabilities,OI_GROWTH,REV_GROWTH,Treated,After,TA_lag,Total Liabilities_lag
DSNG.JK,2020Q2,Construction and Materials,0.821271894,3,11709863000000,8281825000000,44.15544082,28.79027405,0,1,1.20068E+13,7.97458E+12
DSSA.JK,2020Q2,Electricity,0.425528311,1,54566632573600,35072074300000,2.077383097,-6.760406138,1,1,5.79734E+13,3.09986E+13
DUTI.JK,2020Q2,Real Estate Investment and Services Development,0.321069245,0,13848012503290,5123825541580,-44.39530865,-49.75775785,1,1,1.37666E+13,5.06948E+12
DVLA.JK,2020Q2,Pharmaceuticals and Biotechnology,4.182345086,6,2010537712000,588498807000,-32.82988871,2.855437588,0,1,1.93388E+12,5.23882E+11
DYAN.JK,2020Q2,Industrial Support Services,-6.900033624,-10,1098152200020,457380211650,-386.3572406,-96.57409282,1,1,1.19763E+12,4.86868E+11
ECII.JK,2020Q2,Retailers,-1.41576161,-2,1639638776210,354576917900,539.0983554,-46.74482958,1,1,1.80212E+12,4.26624E+11
EKAD.JK,2020Q2,Chemicals,1.694572904,2,983508727500,113727089690,19.28226536,-16.66561813,0,1,1.01299E+12,1.4479E+11
ELSA.JK,2020Q2,"Oil, Gas and Coal",1.059394792,2,7022422000000,3321485000000,-14.61334797,-1.518732966,0,1,7.81076E+12,4.18395E+12
ELTY.JK,2020Q2,Real Estate Investment and Services Development,-3.142095557,-4,12329520357730,4913593830530,-848.6789232,-15.68820714,1,1,1.27919E+13,5.48874E+12
EMDE.JK,2020Q2,Real Estate Investment and Services Development,-0.754748355,-2,2178974394830,1406775424980,-21.98020356,-72.96904324,1,1,2.16201E+12,1.37543E+12
EMTK.JK,2020Q2,Telecommunications Equipment,-0.09751506,-1,17336493116000,8125825004000,-110.4399362,-2.00999252,0,1,1.85385E+13,8.81556E+12
ENRG.JK,2020Q2,"Oil, Gas and Coal",1.989660507,6,10622652481400,7106078073000,133.6789259,9.016685748,0,1,1.0811E+13,6.43903E+12
EPMT.JK,2020Q2,Pharmaceuticals and Biotechnology,1.628602339,2,8353666731890,2149793234970,-8.848547447,0.519500356,0,1,9.60889E+12,3.35155E+12
ERAA.JK,2020Q2,Retailers,0.147783565,0,9063284429000,4138070224000,-59.36083432,-19.85467247,1,1,9.94369E+12,5.00797E+12
ERTX.JK,2020Q2,Personal Goods,0.292732779,1,1063401732600,895662017000,33.11133998,-28.04359931,1,1,1.22395E+12,7.19839E+11
ESSA.JK,2020Q2,"Oil, Gas and Coal",-1.475568127,-4,12147318979000,11667125328000,-18.15114819,-43.94863763,0,1,1.47052E+13,9.82511E+12
ESTI.JK,2020Q2,Industrial Materials,0.464290809,2,817666728400,626093794000,13.38304433,-22.33866127,1,1,9.42049E+11,7.26204E+11
EXCL.JK,2020Q2,Telecommunications Service Providers,0.31708657,1,69654912000000,49135802000000,17.055004,4.696701939,0,1,7.15116E+13,5.08635E+13
FAST.JK,2020Q2,Travel and Leisure,-4.408888187,-10,3603158040000,1936797087000,-88.15309401,-45.84806213,1,1,3.62033E+12,1.74511E+12
FASW.JK,2020Q2,Industrial Materials,4.764128244,13,11091179164160,6640783381930,-47.15133476,-9.60287915,1,1,1.1687E+13,7.77917E+12
FIRE.JK,2020Q2,Retailers,1.270275492,2,531145387040,247107504520,104.6227136,-11.63812537,1,1,5.85809E+11,2.03391E+11
FISH.JK,2020Q2,Food Producers,2.156971177,9,6272719546000,4439294079000,160.6251812,17.84581337,0,1,5.91661E+12,4.39915E+12
FMII.JK,2020Q2,Personal Goods,-0.610947953,-1,879063434860,251696896390,-43.30472502,-84.77070524,1,1,8.79143E+11,2.6469E+11
FORU.JK,2020Q2,Media,-6.048710686,-8,79603952510,22705591510,-35.7678193,-55.06726487,1,1,82951552140,21136935060
FPNI.JK,2020Q2,General Industrials,7.049092819,13,2519062820000,1312329300000,3379.235903,-7.694220564,1,1,2.78393E+12,9.23464E+11
FREN.JK,2020Q2,Telecommunications Service Providers,1.635931728,5,34769404638050,22130684274230,-39.48058031,42.394757,0,1,3.3089E+13,1.4915E+13
GAMA.JK,2020Q2,Real Estate Investment and Services Development,-0.267454237,0,1399172188270,295412138790,-223.5244766,-63.44880303,1,1,1.39264E+12,2.87867E+11
GDST.JK,2020Q2,Industrial Metals and Mining,1.844571346,4,1686350926900,1175225972610,-989.0683194,-31.92237401,1,1,1.98374E+12,8.41188E+11
GDYR.JK,2020Q2,Automobiles and Parts,-6.491151606,-16,1668266932200,992002171200,1160.83612,-59.68371994,1,1,2.1827E+12,1.27368E+12
GEMA.JK,2020Q2,Household Goods and Home Construction,-0.289366091,0,862688313530,533250604070,-34.99055165,-22.86050794,0,1,9.1987E+11,5.75955E+11
GEMS.JK,2020Q2,"Oil, Gas and Coal",2.6342845,5,11270042650200,6408974180000,66.964095,15.23072062,0,1,1.27864E+13,5.89512E+12
GGRM.JK,2020Q2,Tobacco,1.761928732,3,79158868000000,24407363000000,-28.90879624,-0.582271989,1,1,7.68286E+13,2.34513E+13
GIAA.JK,2020Q2,Travel and Leisure,-2.623358914,-15,61844779687600,53922670168000,-20.04261583,-10.25254183,1,1,6.26671E+13,5.04069E+13
GJTL.JK,2020Q2,Automobiles and Parts,1.355307229,4,18365879000000,12244104000000,-122.0186912,-41.25323677,1,1,2.04501E+13,1.43901E+13
GMTD.JK,2020Q2,Real Estate Investment and Services Development,0.319292981,1,1102862041090,411483234510,-62.62894501,-32.95278501,1,1,1.10702E+12,4.19174E+11
GOLD.JK,2020Q2,Retailers,0.89801304,1,345564313000,31038541000,14.81422682,6.567869259,1,1,3.29963E+11,33261495000
