Stocks;Period;ROA;REV;TA;DER;IDX_IC;DiD_Period;DiD_Treatment;Ln_REV;Ln_Assets;ROA_perc;DER_perc
ASII;2019Q2;-0.0467275920;56575000000000;350288000000000;0.6650769860;IDXINDUST;0;1;31.6665883074;33.4897767892;-4.6727591973;66.5076985970
ASII;2020Q2;0.0082994339;35793000000000;343674000000000;0.5700875235;IDXINDUST;1;1;31.2087734595;33.4707146496;0.8299433940;57.0087523490
ASRI;2019Q2;0.0108498293;597980285000;21595907120000;0.8527010716;IDXPROPERT;0;0;27.1168236221;30.7035249275;1.0849829310;85.2701071570
ASRI;2020Q2;0.0318028476;619475831000;21431234874000;0.7979284090;IDXPROPERT;1;0;27.1521395235;30.6958705474;3.1802847570;79.7928409020
ASRM;2019Q2;0.0086897373;311921613910;1572842281250;0.1523624758;IDXFINANCE;0;1;26.4660177557;28.0839054688;0.8689737270;15.2362475800
ASRM;2020Q2;0.0356785247;375335371420;1724239082690;0.1396619531;IDXFINANCE;1;1;26.6510857870;28.1758069576;3.5678524700;13.9661953140
ATIC;2019Q2;0.0002828517;1394118076740;3846503293990;3.7319746888;IDXTECHNO;0;1;27.9632831282;28.9781856162;0.0282851749;373.1974688760
ATIC;2020Q2;0.0107147213;1124708949110;4288886335920;3.8473964165;IDXTECHNO;1;1;27.7485454062;29.0870482198;1.0714721292;384.7396416520
AUTO;2019Q2;0.0100804187;3644929000000;15947312000000;0.1022147041;IDXCYCLIC;0;1;28.9243580025;30.4003114043;1.0080418660;10.2214704070
AUTO;2020Q2;0.0377872811;1811110000000;15251846000000;0.1274106765;IDXCYCLIC;1;1;28.2249610329;30.3557216608;3.7787281050;12.7410676490
BAJA;2019Q2;-0.0181645414;181424863290;776722424630;2.5765586720;IDXBASIC;0;0;25.9241074286;27.3783488836;-1.8164541370;257.6558671970
BAJA;2020Q2;-0.0683627735;241152473390;776321312840;2.8335172930;IDXBASIC;1;0;26.2086952401;27.3778323344;-6.8362773530;283.3517293040
BALI;2019Q2;0.0030062747;153528085110;3839105222790;0.8087526525;IDXINFRA;0;1;25.7571493521;28.9762604405;0.3006274700;80.8752652470
BALI;2020Q2;-0.0927137864;191637671260;4418440530550;0.9384844908;IDXINFRA;1;1;25.9788722972;29.1168079286;-9.2713786370;93.8484490820
BATA;2019Q2;0.0066527204;222904348000;876856225000;0.0314066722;IDXCYCLIC;0;1;26.1300085837;27.4996088763;0.6652720441;3.1406672230
BATA;2020Q2;0.0367548235;202506578000;863146554000;0.0428625230;IDXCYCLIC;1;1;26.0340382069;27.4838503328;3.6754823500;4.2862523020
BBCA;2019Q2;0.0304538075;17552052000000;870457083000000;0.0160354070;IDXFINANCE;0;1;30.4961919821;34.4000395724;3.0453807540;1.6035407030
BBCA;2020Q2;0.0073471574;18514876000000;975076433000000;0.0129311111;IDXFINANCE;1;1;30.5495956330;34.5135369767;0.7347157410;1.2931111070
BBKP;2019Q2;0.0157629010;781277000000;97745326000000;0.5710656393;IDXFINANCE;0;1;27.3841955974;32.2133864978;1.5762901008;57.1065639260
BBKP;2020Q2;0.0170623593;599646000000;87211424000000;1.1498093280;IDXFINANCE;1;1;27.1196053180;32.0993564474;1.7062359310;114.9809328020
BBLD;2019Q2;0.0090583435;197719000000;5132067000000;3.2053644521;IDXFINANCE;0;1;26.0101126677;29.2665296179;0.9058343456;320.5364452110
BBLD;2020Q2;0.0049907767;198720000000;5012771000000;3.0862724415;IDXFINANCE;1;1;26.0151626357;29.2430099719;0.4990776670;308.6272441490
BBNI;2019Q2;0.0104575617;13332545000000;843214400000000;0.6873830946;IDXFINANCE;0;1;30.2212291546;34.3682423714;1.0457561680;68.7383094620
BBNI;2020Q2;0.0056421613;12462187000000;880123799000000;0.5121376680;IDXFINANCE;1;1;30.1537201356;34.4110836942;0.5642161250;51.2137668020
BBRI;2019Q2;0.0069199979;27199398000000;1288195552000000;0.6151161620;IDXFINANCE;0;1;30.9342159566;34.7920188372;0.6919997880;61.5116161950
BBRI;2020Q2;0.0051936514;21310620000000;1387759264000000;0.5502386450;IDXFINANCE;1;1;30.6902266559;34.8664668010;0.5193651430;55.0238645020
BBRM;2019Q2;0.0341667010;62138194950;1195091311050;2.5055405028;IDXENERGY;0;1;24.8526266924;27.8092437093;3.4166701031;250.5540502770
BBRM;2020Q2;-0.0273653043;56273631000;1217037381000;2.9525877470;IDXENERGY;1;1;24.7534918965;27.8274406452;-2.7365304340;295.2587747010
BBTN;2019Q2;-0.0541955194;2746415000000;312474892000000;2.6050748456;IDXFINANCE;0;1;28.6413175408;33.3755452363;-5.4195519396;260.5074845640
BBTN;2020Q2;0.5684699914;2784276000000;314602871000000;4.2648638552;IDXFINANCE;1;1;28.6550089914;33.3823322324;56.8469991400;426.4863855230
BBYB;2019Q2;-0.0034586742;68116286620;4810523401660;0.0038694563;IDXFINANCE;0;1;24.9444821789;29.2018270094;-0.3458674150;0.3869456320
BBYB;2020Q2;0.0514585389;57762991160;4846528413830;0.0173329373;IDXFINANCE;1;1;24.7796141162;29.2092837736;5.1458538869;1.7332937340
BCAP;2019Q2;0.0115977492;716993000000;18762724000000;0.4517794087;IDXFINANCE;0;1;27.2983319146;30.5628932515;1.1597749235;45.1779408740
BCAP;2020Q2;0.0126226397;699434000000;18385005000000;0.3885995373;IDXFINANCE;1;1;27.2735372735;30.5425565026;1.2622639740;38.8599537270
