Firm,Period,ICB Sector,ROA,ROE,TA,Total Liabilities,OI_GROWTH,REV_GROWTH_YoY_in_percent,Treated,After_YoY
BSDE.JK,2020Q2,Real Estate Investment and Services Development,-0.538147555,-1,60411848311460,32306113309600,-27.51413324,-57.29699498,1,1
BSSR.JK,2020Q2,"Oil, Gas and Coal",2.953514518,4,3617597487800,1167213823000,416.5307283,-22.23304958,0,1
BTEK.JK,2020Q2,Food Producers,-2.607240043,-7,5215861754940,3698169275910,-121.7756968,57.31090234,0,1
BTON.JK,2020Q2,Industrial Metals and Mining,-9.624842886,-12,249140434390,56218326280,17449.61323,-6.183479361,1,1
BUDI.JK,2020Q2,Food Producers,0.271640163,1,2914295000000,1650265000000,-17.40055739,-17.40738945,0,1
BUKK.JK,2020Q2,Construction and Materials,2.110012701,4,4807822517000,2146544315000,38.58362762,-17.9494862,0,1
BULL.JK,2020Q2,Industrial Transportation,1.804129615,4,10003954124600,6281096605000,208.6158918,117.2258835,1,1
BUVA.JK,2020Q2,Real Estate Investment and Services Development,-0.873686161,-2,3673673011990,1956632054800,-33.13896854,-97.98729842,1,1
BWPT.JK,2020Q2,Food Producers,-1.802662494,-6,15586735000000,11471771000000,-16.64453989,-15.36833147,0,1
BYAN.JK,2020Q2,"Oil, Gas and Coal",2.588452261,6,19667092374600,11185294604000,-58.871006,-24.79510807,0,1
CAKK.JK,2020Q2,Construction and Materials,-2.413651981,-4,307011260450,90922018750,-567.7528912,-56.24909361,0,1
CAMP.JK,2020Q2,Food Producers,0.305404043,0,1070968299750,121569825130,-90.1146573,-12.65503898,0,1
CARS.JK,2020Q2,Retailers,-1.071202624,-5,7085307156710,6047668015730,-63.89882536,-62.98062712,1,1
CASS.JK,2020Q2,Industrial Transportation,-11.80376743,-37,1612441000000,1173237000000,519.4620447,-8.007022593,1,1
CEKA.JK,2020Q2,Food Producers,0.041231238,0,1369227862980,171004052760,-110.3102861,-6.007875128,0,1
CENT.JK,2020Q2,Telecommunications Service Providers,-0.475020975,-1,8028755000000,3389143000000,5.769993099,42.64101903,0,1
