Firm,Period,Code,ICB Sector,ROA,ROE,Treated,After,TA,Total Liabilities,FCF,OI_GROWTH,REV_GROWTH
WTON.JK,2020Q2,WTON.JK2020Q2,Construction and Materials,-0.400607199,-1.130183626,0,1,9.6201E+12,6.90018E+12,2.43198E+11,-0.011997884,-9.864944372
AALI.JK,2019Q2,AALI.JK2019Q2,Food Producers,0.050227578,0.033592246,0,0,2.69001E+13,7.90571E+12,73581000000,-0.846954042,-4.802090511
ACES.JK,2019Q2,ACES.JK2019Q2,Retailers,4.205699787,5.47606836,1,0,5.85757E+12,1.05296E+12,2.51075E+11,0.395575324,21.01813053
ADES.JK,2019Q2,ADES.JK2019Q2,Beverages,1.523491099,2.608307209,0,0,8.65873E+11,3.99361E+11,27235000000,0.106819848,1.012289062
ADMF.JK,2019Q2,ADMF.JK2019Q2,Finance and Credit Services,1.455344315,7.180789784,0,0,3.31961E+13,2.66258E+13,4.6835E+11,0.801892393,9.524302332
ALDO.JK,2019Q2,ALDO.JK2019Q2,Household Goods and Home Construction,1.590222368,3.112086379,0,0,9.10041E+11,5.3853E+11,33257970790,6.658351524,-1.177049612
AMRT.JK,2019Q2,AMRT.JK2019Q2,"Personal Care, Drug and Grocery Stores",0.904854751,3.256828614,0,0,2.31352E+13,1.63095E+13,3.19291E+11,0.247311876,13.90231964
APIC.JK,2019Q2,APIC.JK2019Q2,Investment Banking and Brokerage Services,1.3862453,2.49949449,1,0,2.977E+12,1.23194E+12,15535927000,-0.184019468,18.94604798
ASGR.JK,2019Q2,ASGR.JK2019Q2,Technology Hardware & Equipment,1.334122664,2.090834464,0,0,2.39094E+12,8.80542E+11,63681000000,-0.291884927,15.84124809
ASII.JK,2019Q2,ASII.JK2019Q2,Automobiles and Parts,1.593431759,3.262716987,1,0,3.57116E+14,2.15319E+14,5.712E+12,0.151565623,6.780480814
ASSA.JK,2019Q2,ASSA.JK2019Q2,Consumer Services,0.354673371,2.19008288,1,0,4.41022E+12,3.29438E+12,58783448150,-0.075615141,12.82790009
BAYU.JK,2019Q2,BAYU.JK2019Q2,Travel and Leisure,1.333613006,2.362936796,1,0,7.88602E+11,3.57462E+11,15304087290,0.371165565,9.057827976
BBLD.JK,2019Q2,BBLD.JK2019Q2,Finance and Credit Services,0.318769344,1.377831336,0,0,5.13207E+12,3.84199E+12,3779000000,0.182554691,12.93582069
BFIN.JK,2019Q2,BFIN.JK2019Q2,Investment Banking and Brokerage Services,1.918747726,5.592924377,1,0,1.84622E+13,1.19346E+13,3.35682E+11,-0.007702921,5.922730728
BIPI.JK,2019Q2,BIPI.JK2019Q2,"Oil, Gas and Coal",1.892157659,7.343324922,0,0,2.03182E+13,1.41489E+13,3.85603E+11,-0.177878948,735.9641921
BISI.JK,2019Q2,BISI.JK2019Q2,Food Producers,0.464021257,0.570636511,0,0,2.85347E+12,4.68733E+11,79569000000,1.521110825,14.74027976
BLTA.JK,2019Q2,BLTA.JK2019Q2,Industrial Transportation,0.138908802,0.336948862,1,0,1.02515E+12,6.09223E+11,23125493750,-0.801136332,-12.79174702
BMSR.JK,2019Q2,BMSR.JK2019Q2,Real Estate Investment and Services Development,-0.31350438,-1.20820414,1,0,5.5904E+11,4.50698E+11,1664702740,2.366717703,-1.819093812
BMTR.JK,2019Q2,BMTR.JK2019Q2,Media,1.92983822,3.251325106,1,0,2.90995E+13,1.94704E+13,8.86923E+11,0.221500995,12.97411123
BPFI.JK,2019Q2,BPFI.JK2019Q2,Investment Banking and Brokerage Services,1.091532355,2.361685296,1,0,1.71191E+12,9.19559E+11,22693164220,-0.005146493,-8.703493254
BPII.JK,2019Q2,BPII.JK2019Q2,Industrial Support Services,3.045380754,6.113188739,1,0,6.86081E+11,79323952460,39317431160,3.358185529,273.4259881
BPTR.JK,2019Q2,BPTR.JK2019Q2,Industrial Transportation,0.549468894,1.409771774,1,0,5.27283E+11,3.25678E+11,3499754720,0.528360131,56.7947363
BSDE.JK,2019Q2,BSDE.JK2019Q2,Real Estate Investment and Services Development,2.905582431,5.343769609,1,0,5.25031E+13,2.59918E+13,3.90245E+11,-0.774835078,-4.246134864
