Firm,Period,SIZE,LEV,REV,GROWTH,ROA,ROE,FE_2020Q2,FE_2019Q2,FE_2018Q2,FE_Sector,Treat,After,DiD,Delete
BCIP.JK,2019Q2,27.49462793,26.93738227,24.43530741,-27.78130427,0.490611817,0.910258123,0,1,0,9,0,0,0,0
BELL.JK,2020Q2,27.03916632,72.89071094,25.75419695,71.28061569,-0.372605638,-1.103580417,1,0,0,2,1,1,1,0
BELL.JK,2019Q2,26.90190543,69.61366211,25.21606389,-10.18743633,1.016048109,2.116615024,0,1,0,2,1,0,0,0
BEST.JK,2020Q2,29.46710119,45.14245363,25.54172339,-35.09881494,2.9321689,4.361161829,1,0,0,9,0,1,0,0
BEST.JK,2019Q2,29.37947399,42.15181515,25.97402769,-20.45925467,0.30062747,0.450254792,0,1,0,9,0,0,0,0
BFIN.JK,2020Q2,30.54169342,187.1691637,27.84074219,0.326113924,0.022606467,0.067099105,1,0,0,4,0,1,0,0
BFIN.JK,2019Q2,30.57553057,238.3772892,27.83748635,28.83035359,1.918747726,5.592924377,0,1,0,4,0,0,0,0
BHIT.JK,2020Q2,31.67214994,223.365661,28.92205902,11.60607638,-1.059836363,-6.153625784,1,0,0,6,0,1,0,0
BHIT.JK,2019Q2,31.66322111,227.9666329,28.81225371,2.721512203,0.778770222,0.636062176,0,1,0,6,0,0,0,0
BIKA.JK,2020Q2,28.47844902,403.7123747,25.48419497,0.768940831,-3.105621681,-5.576474482,1,0,0,9,0,1,0,0
BIKA.JK,2019Q2,28.49578416,372.0535653,25.47653497,-17.60383121,-1.156136159,-4.445200335,0,1,0,9,0,0,0,0
BIPI.JK,2020Q2,30.49352168,193.8908056,26.16912295,2912.709993,0.550716995,2.296948004,1,0,0,3,1,1,1,0
BIPI.JK,2019Q2,30.53377341,210.108355,22.76369785,-27.49184695,1.892157659,7.343324922,0,1,0,3,1,0,0,0
BIPP.JK,2020Q2,28.37827914,48.77721908,24.2049807,12.60374592,2.050846997,3.044979999,1,0,0,9,0,1,0,0
BIPP.JK,2019Q2,28.18138453,47.98599477,24.08627591,19.77589849,-0.658756511,-0.939891652,0,1,0,9,0,0,0,0
BIRD.JK,2020Q2,29.58921325,15.31310665,27.56712132,-6.004552988,-1.418491616,-2.038534885,1,0,0,11,1,1,1,0
BIRD.JK,2019Q2,29.51184966,13.30075282,27.62904517,-4.231274487,0.965567963,1.333695428,0,1,0,11,1,0,0,0
BKDP.JK,2020Q2,27.35525277,30.93393518,23.20702038,-24.34003464,-0.83828537,-1.364644541,1,0,0,9,0,1,0,0
BKDP.JK,2019Q2,27.37811635,28.72048584,23.48594141,-10.70068089,-0.761199567,-1.257254911,0,1,0,9,0,0,0,0
BKSL.JK,2020Q2,30.41928214,20.5563939,26.96867575,-43.23403793,0.238065054,0.244485755,1,0,0,9,0,1,0,0
BKSL.JK,2019Q2,30.33753955,16.28154135,27.53490905,24.70173724,2.024671778,3.133239652,0,1,0,9,0,0,0,0
BLTA.JK,2020Q2,27.65586385,111.7926853,25.07629746,-12.79174702,0.844960178,1.848822297,1,0,0,11,1,1,1,0
BLTA.JK,2019Q2,27.73050747,115.0084669,25.21316868,22.68236864,0.834290331,2.043403707,0,1,0,11,1,0,0,0
BLTZ.JK,2020Q2,28.19784666,27.49319489,26.40089768,19.94092324,-2.224329463,-4.463516516,1,0,0,2,1,1,1,0
BLTZ.JK,2019Q2,28.10895393,20.59777902,26.21906855,48.85332404,-0.20623035,-0.313881546,0,1,0,2,1,0,0,0
BMSR.JK,2020Q2,27.04948657,159.160699,27.39701501,-1.819093812,0.183333734,1.089776037,1,0,0,1,1,1,1,0
BMSR.JK,2019Q2,27.0662696,158.3324671,27.41537344,31.44541846,0.783191209,3.097682789,0,1,0,1,1,0,0,0
BMTR.JK,2020Q2,31.0017417,113.5980346,28.69823527,12.97411123,0.829669895,1.291858574,1,0,0,6,0,1,0,0
BMTR.JK,2019Q2,30.98344329,119.8805208,28.57624677,3.381707333,1.686553528,2.695353782,0,1,0,6,0,0,0,0
BOGA.JK,2020Q2,27.0428154,12.81806063,25.8770692,26.09535018,0.048871982,0.06757079,1,0,0,2,1,1,1,0
BOGA.JK,2019Q2,26.9975428,16.2718655,25.64520102,72.33804084,0.220981882,0.297308242,0,1,0,2,1,0,0,0
BOLT.JK,2020Q2,27.84397707,47.81189983,26.34620971,1.680336917,-1.796213688,-2.850843202,1,0,0,2,1,1,1,0
BOLT.JK,2019Q2,27.84226998,51.8272384,26.32954595,1.75770615,-0.629073367,-0.826250241,0,1,0,2,1,0,0,0
BOSS.JK,2020Q2,27.00901756,12.06582027,25.21392702,0.110837591,0.112129283,0.492389054,1,0,0,3,1,1,1,0
BOSS.JK,2019Q2,26.62578809,451.9541118,25.21281926,213.9697425,-1.569615017,-4.066920906,0,1,0,3,1,0,0,0
BPFI.JK,2020Q2,28.19507766,111.9287926,25.37028379,-0.78845148,0.231099563,0.474473201,1,0,0,4,0,1,0,0
BPFI.JK,2019Q2,28.30201425,152.421719,25.37819955,18.75600357,1.091532355,2.361685296,0,1,0,4,0,0,0,0
BRAM.JK,2020Q2,29.06015066,14.45362412,27.50141501,-4.921524838,-0.128162378,-0.00617364,1,0,0,2,1,1,1,0
BRAM.JK,2019Q2,29.11640083,18.85470208,27.55188259,15.61127704,1.133363879,1.528921527,0,1,0,2,1,0,0,0
BRNA.JK,2020Q2,28.53956607,93.80818981,26.42107891,-3.378929682,-0.756952744,-1.817397505,1,0,0,1,1,1,1,0
BRNA.JK,2019Q2,28.36923551,118.4837372,26.45545226,2.947860441,-1.583855028,-3.860785726,0,1,0,1,1,0,0,0
BRPT.JK,2020Q2,32.22304672,225.323681,29.8058437,-27.96245657,0.142462559,-0.558440544,1,0,0,1,1,1,1,0
BRPT.JK,2019Q2,32.20276675,215.1367285,30.13382647,24.52504841,0.452365564,0.446783406,0,1,0,1,1,0,0,0
BSDE.JK,2020Q2,31.60707207,47.08674515,28.30995563,39.03403316,-0.538147555,-1.216916334,1,0,0,9,0,1,0,0
BSDE.JK,2019Q2,31.57016506,54.14584376,27.98040707,-43.29360051,2.905582431,5.343769609,0,1,0,9,0,0,0,0
BSSR.JK,2020Q2,28.84060449,13.18531971,28.0288477,-4.358633513,2.953514518,4.179369018,1,0,0,3,1,1,1,0
BSSR.JK,2019Q2,28.76794063,6.799391325,28.07341246,13.16432637,3.921492205,6.324320265,0,1,0,3,1,0,0,0
BTEK.JK,2020Q2,29.2791727,97.28686706,25.6926309,-30.8730305,0.019610558,0.048400471,1,0,0,8,0,1,0,0
BTEK.JK,2019Q2,29.32911603,107.5173889,26.06185613,101.2986432,0.006966795,0.016123346,0,1,0,8,0,0,0,0
BUDI.JK,2020Q2,28.76708942,117.6615607,27.08173875,-3.109450858,0.271640163,0.558634996,1,0,0,8,0,1,0,0
BUDI.JK,2019Q2,28.72928734,121.7611937,27.11332696,17.64265746,0.403724275,0.875427889,0,1,0,8,0,0,0,0
BUKK.JK,2020Q2,29.16390268,35.34601839,27.85158581,32.22464056,2.110012701,3.879724815,1,0,0,7,1,1,1,0
BUKK.JK,2019Q2,29.00636965,61.30551617,27.5722537,80.25417407,1.537555844,3.245968136,0,1,0,7,1,0,0,0
BULL.JK,2020Q2,29.21745235,63.3677187,26.53185087,14.71518434,3.1999183,6.909338388,1,0,0,3,1,1,1,0
BULL.JK,2019Q2,29.08824977,87.42947502,26.39456866,35.75103017,1.21992864,1.914861743,0,1,0,3,1,0,0,0
BUVA.JK,2020Q2,29.04364746,75.9961658,25.62259164,156.2990227,-0.574161142,-0.239598126,1,0,0,2,1,1,1,0
BUVA.JK,2019Q2,28.82018482,92.94691568,24.68141701,-2.89766957,1.862479075,4.446367872,0,1,0,2,1,0,0,0
BWPT.JK,2020Q2,30.43150135,178.0877268,27.06255225,-26.88631203,-1.802662494,-6.437387386,1,0,0,8,0,1,0,0
BWPT.JK,2019Q2,30.45047625,142.3612146,27.37570684,17.55138026,-1.492579635,-4.449784231,0,1,0,8,0,0,0,0
BYAN.JK,2020Q2,30.60898108,38.2175431,29.57204618,13.32696819,2.588452261,5.929446344,1,0,0,3,1,1,1,0
BYAN.JK,2019Q2,30.33856924,17.75467758,29.44693921,95.78858836,7.698277481,14.50618326,0,1,0,3,1,0,0,0
CARS.JK,2020Q2,29.7847861,362.6899347,28.20504693,-5.227835431,0.288709073,1.142459315,1,0,0,2,1,1,1,0
CARS.JK,2019Q2,29.79244713,410.5975966,28.25874137,13.69929388,0.684650281,3.269990881,0,1,0,2,1,0,0,0
CASS.JK,2020Q2,28.29492793,85.05094174,27.17873273,18.25395571,-11.80376743,-37.48106306,1,0,0,7,1,1,1,0
CASS.JK,2019Q2,28.27657071,78.40632153,27.01106843,11.48840736,-2.758065842,-16.20106961,0,1,0,7,1,0,0,0
CENT.JK,2020Q2,29.33786991,64.85742918,26.02957121,-2.332160955,-0.475020975,-1.252855237,1,0,0,7,1,1,1,0
CENT.JK,2019Q2,29.25679762,45.52954361,26.05316908,21.63844005,0.062973806,0.114174687,0,1,0,7,1,0,0,0
CFIN.JK,2020Q2,30.12779237,160.7719004,27.01377681,16.38011579,0.082650493,0.198655354,1,0,0,4,0,1,0,0
CFIN.JK,2019Q2,30.02734692,154.342289,26.8620853,29.25889527,0.689538179,1.835266316,0,1,0,4,0,0,0,0
CINT.JK,2020Q2,26.89944872,10.47050263,25.08271647,10.11206258,0.095305069,0.166743503,1,0,0,2,1,1,1,0
CINT.JK,2019Q2,26.88166092,8.045616367,24.98638806,-0.817634205,-0.54591158,-0.675528369,0,1,0,2,1,0,0,0
CITA.JK,2020Q2,28.94988751,62.84148685,27.54824378,116.236587,4.212568879,5.236238699,1,0,0,1,1,1,1,0
CITA.JK,2019Q2,28.7067392,125.167564,26.77704084,321.9116937,6.517878323,12.31482456,0,1,0,1,1,0,0,0
CLEO.JK,2020Q2,27.69511051,24.68878361,26.31588457,34.47502657,2.194226497,3.587987895,1,0,0,8,0,1,0,0
CLEO.JK,2019Q2,27.31687255,77.45521833,26.01967625,36.3541865,3.838508627,5.683268192,0,1,0,8,0,0,0,0
CLPI.JK,2020Q2,27.28687209,30.34476655,26.00167717,23.1339115,0.463878089,0.686655378,1,0,0,1,1,1,1,0
CLPI.JK,2019Q2,27.15556303,18.06489984,25.79357488,9.280732343,0.633669899,0.951544609,0,1,0,1,1,0,0,0
CMNP.JK,2020Q2,30.25662936,81.46957458,27.37327863,20.46200279,1.068166915,2.514287353,1,0,0,7,1,1,1,0
CMNP.JK,2019Q2,30.0438532,75.58347549,27.18711445,13.600132,1.532936025,3.351677688,0,1,0,7,1,0,0,0
COWL.JK,2020Q2,28.90603921,168.806631,25.49530536,-40.75525579,-0.527877028,-2.096596817,1,0,0,9,0,1,0,0
COWL.JK,2019Q2,28.88179794,156.7379371,26.01879848,11.61088516,-1.267206769,-3.923809867,0,1,0,9,0,0,0,0
CPIN.JK,2020Q2,30.98365411,21.30543329,30.30207892,21.93274069,3.076026742,4.303205396,1,0,0,8,0,1,0,0
CPIN.JK,2019Q2,30.87848545,33.49805733,30.10377952,-1.319025618,2.894829047,4.121874126,0,1,0,8,0,0,0,0
CSAP.JK,2020Q2,29.41740422,90.3526613,28.6366242,10.43770242,0.212796852,0.529718805,1,0,0,2,1,1,1,0
CSAP.JK,2019Q2,29.29937446,99.00185689,28.5373428,10.21874289,-0.011483947,-0.131360163,0,1,0,2,1,0,0,0
CTRA.JK,2020Q2,31.18855661,60.64851147,28.03560984,3.556626732,-0.058586788,-0.054091247,1,0,0,9,0,1,0,0
CTRA.JK,2019Q2,31.12392495,60.29281429,28.00066144,-6.955808937,0.065420669,0.091389589,0,1,0,9,0,0,0,0
CTTH.JK,2020Q2,27.34460978,86.73717106,24.99393698,-2.83557756,-2.704230391,-7.018954072,1,0,0,6,0,1,0,0
CTTH.JK,2019Q2,27.28179308,74.76631611,25.02270254,42.0429184,0.954587146,2.149104712,0,1,0,6,0,0,0,0
DART.JK,2020Q2,29.58334601,86.99835987,25.45818664,21.06010918,-1.694180748,-3.589719218,1,0,0,9,0,1,0,0
DART.JK,2019Q2,29.50709259,74.89452693,25.26706964,-11.52304211,0.052062003,0.102291806,0,1,0,9,0,0,0,0
DEWA.JK,2020Q2,29.41236384,5.330565338,27.57043871,19.31536367,0.126779927,0.293669454,1,0,0,3,1,1,1,0
DEWA.JK,2019Q2,29.3486773,14.84545433,27.3938388,-15.23609169,0.064523268,0.115356347,0,1,0,3,1,0,0,0
DGIK.JK,2020Q2,28.18877035,46.23219935,26.26779167,8.325832212,-0.685298099,-1.34945542,1,0,0,7,1,1,1,0
DGIK.JK,2019Q2,28.19261144,24.58006262,26.1878182,-11.19467393,-0.761788731,-2.013460687,0,1,0,7,1,0,0,0
DILD.JK,2020Q2,30.31046375,86.22219647,26.85078528,-58.23862242,0.0001501,0.102303304,1,0,0,9,0,1,0,0
DILD.JK,2019Q2,30.2563514,83.90468616,27.72398353,16.62623073,-0.183575757,-0.659008375,0,1,0,9,0,0,0,0
DNET.JK,2020Q2,30.31459613,60.15006617,24.38512207,57.68473078,0.315317727,0.533698022,1,0,0,4,0,1,0,0
DNET.JK,2019Q2,30.01264609,27.68317315,23.92969459,162.0766818,0.345727706,0.573745286,0,1,0,4,0,0,0,0
DOID.JK,2020Q2,30.47153387,277.1402854,28.74454867,21.70069831,-1.973582804,-8.432532318,1,0,0,3,1,1,1,0
DOID.JK,2019Q2,30.26148748,328.1888691,28.54815412,3.55950138,0.114061369,0.518616491,0,1,0,3,1,0,0,0
DPUM.JK,2020Q2,28.37628147,42.28115906,25.12431965,-70.04436855,-8.955560067,-14.5510914,1,0,0,8,0,1,0,0
DPUM.JK,2019Q2,28.36313723,45.01735876,26.32977251,-14.08766019,-1.292366065,-1.936657007,0,1,0,8,0,0,0,0
DSFI.JK,2020Q2,26.70425225,59.24267425,25.81380119,-5.110951183,0.005935928,0.011874231,1,0,0,8,0,1,0,0
DSFI.JK,2019Q2,26.70472471,78.61442342,25.86626307,9.033043338,0.967186838,2.104036064,0,1,0,8,0,0,0,0
DSNG.JK,2020Q2,30.055435,178.8240819,27.82276233,4.422106481,0.821271894,2.674498953,1,0,0,8,0,1,0,0
