Firm,Period,SIZE,LEV,REV,GROWTH,ROA,ROE,FE_2020Q4,FE_2019Q4,FE_Sector,Treat,After,DiD,Delete
BBRI.JK,2020Q4,34.88714815,70.63169892,31.077112,21.1653828,0.304542609,#VALUE!,1,0,3,0,1,0,0
BBRI.JK,2019Q4,34.79875188,71.84849774,30.88512577,4.867530749,0.706017586,#VALUE!,0,1,3,0,0,0,0
BBRM.JK,2020Q4,27.75657668,273.7697458,24.84834648,-28.51140039,-11.46455631,-54.17842123,1,0,7,1,1,1,0
BBRM.JK,2019Q4,27.92087048,217.1067917,25.18397868,17.14599749,-0.980746466,-4.08734791,0,1,7,1,0,0,0
BBTN.JK,2020Q4,33.37330875,283.8599743,28.58337257,-24.57762929,0.134376947,#VALUE!,1,0,3,0,1,0,0
BBTN.JK,2019Q4,33.35603067,246.9469911,28.86543883,6.027475876,-0.188602278,#VALUE!,0,1,3,0,0,0,0
BBYB.JK,2020Q4,29.28144741,0.285187296,24.7992707,6.963472976,-0.362351079,#VALUE!,1,0,3,0,1,0,0
BBYB.JK,2019Q4,29.21748441,0.426906945,24.73195348,-33.4515734,0.060994024,#VALUE!,0,1,3,0,0,0,0
BCAP.JK,2020Q4,30.56547462,37.19009534,27.28578196,11.27855826,0.046469727,0.19048883,1,0,3,0,1,0,0
BCAP.JK,2019Q4,30.55875021,46.53004683,27.17891556,14.46007667,0.190867542,0.666856917,0,1,3,0,0,0,0
BCIC.JK,2020Q4,30.46598598,29.86226956,24.16365188,-78.4788472,-0.634903699,#VALUE!,1,0,3,0,1,0,0
BCIC.JK,2019Q4,30.51274985,29.58799967,25.69978576,-42.93390333,0.873107531,#VALUE!,0,1,3,0,0,0,0
BDMN.JK,2020Q4,32.89647417,53.12173002,29.67374382,68.27154565,-0.227569944,#VALUE!,1,0,3,0,1,0,0
BDMN.JK,2019Q4,32.86085721,52.62847754,29.15333499,1.090198646,0.815654729,#VALUE!,0,1,3,0,0,0,0
BELL.JK,2020Q4,27.10488631,81.20221949,26.29717509,27.91224037,-3.008747649,-6.271477913,1,0,2,0,1,0,0
BELL.JK,2019Q4,27.09442147,44.3440861,26.05100086,56.19779788,0.428581494,1.587285604,0,1,2,0,0,0,0
BEST.JK,2020Q4,29.48723747,39.41480531,26.56080902,-22.44446657,-0.121538282,-0.176669749,1,0,9,0,1,0,0
BEST.JK,2019Q4,29.47000231,45.48208823,26.81498497,20.48240424,2.650548729,3.863102185,0,1,9,0,0,0,0
BFIN.JK,2020Q4,30.58016653,188.9469921,27.9172296,5.517482423,1.133006362,2.804624112,1,0,3,0,1,0,0
BFIN.JK,2019Q4,30.58161878,194.978813,27.86352314,14.14106508,-2.003428901,-6.016802274,0,1,3,0,0,0,0
BHIT.JK,2020Q4,31.7387119,148.575409,29.03350128,10.21974161,0.947355911,1.771999529,1,0,4,1,1,1,0
BHIT.JK,2019Q4,31.65986122,194.9942745,28.93619544,12.45267763,0.823028428,0.575608253,0,1,4,1,0,0,0
BIKA.JK,2020Q4,28.48357616,395.143899,25.35482562,26.37833688,-3.765191983,-7.003490342,1,0,9,0,1,0,0
BIKA.JK,2019Q4,28.48566743,391.2560922,25.12071572,-27.73100964,-0.180319287,-1.375508873,0,1,9,0,0,0,0
BIPP.JK,2020Q4,28.42008814,49.34442307,24.69814468,48.89659258,0.807446255,0.532115916,1,0,9,0,1,0,0
BIPP.JK,2019Q4,28.17910342,47.95336967,24.30006281,6.560688551,-0.249732354,-0.201696784,0,1,9,0,0,0,0
BIRD.JK,2020Q4,29.63578006,20.53543394,27.7144326,-2.140859171,-0.071197333,-0.10377371,1,0,8,1,1,1,0
BIRD.JK,2019Q4,29.57050451,13.68053015,27.73607368,3.549474501,1.157000205,1.616862337,0,1,8,1,0,0,0
BISI.JK,2020Q4,28.70978982,6.476300841,27.47309398,19.04929204,4.268760913,5.068268542,1,0,1,0,1,0,0
BISI.JK,2019Q4,28.64806537,4.329924672,27.29872654,-15.34908312,5.921465227,7.468140988,0,1,1,0,0,0,0
BJBR.JK,2020Q4,32.44755756,142.3169658,28.25788586,1.947741062,0.338117105,#VALUE!,1,0,3,0,1,0,0
BJBR.JK,2019Q4,32.42010648,131.6999086,28.2385957,0.981559594,0.347359511,#VALUE!,0,1,3,0,0,0,0
BJTM.JK,2020Q4,31.97165675,32.22658437,27.79683127,8.825940121,0.470069996,#VALUE!,1,0,3,0,1,0,0
BJTM.JK,2019Q4,31.76920899,15.25344384,27.71225173,14.0383471,0.317111312,#VALUE!,0,1,3,0,0,0,0
BKDP.JK,2020Q4,27.38235981,32.41460885,23.14083289,-5.259227505,-0.912898195,-1.504818229,1,0,9,0,1,0,0
BKDP.JK,2019Q4,27.36576356,29.94111715,23.19485862,7.858555905,-1.477304431,-2.610026827,0,1,9,0,0,0,0
BKSL.JK,2020Q4,30.44848275,20.07531645,25.86292559,-17.63328125,-0.255713262,-0.480828845,1,0,9,0,1,0,0
BKSL.JK,2019Q4,30.37606994,20.69832381,26.05691432,-33.63481647,-0.090741338,-0.144620075,0,1,9,0,0,0,0
BLTA.JK,2020Q4,27.63698913,107.1838219,24.97840593,-13.37819596,-2.031840318,-4.370448063,1,0,8,1,1,1,0
BLTA.JK,2019Q4,27.73155938,113.2285763,25.12202456,-18.27550515,-0.280033113,-0.675102745,0,1,8,1,0,0,0
BLTZ.JK,2020Q4,28.25672416,28.45985478,26.56700986,13.93017856,-4.352969911,-11.76302882,1,0,2,0,1,0,0
BLTZ.JK,2019Q4,28.14812507,23.00754577,26.43659426,43.32977565,0.72135567,1.118215395,0,1,2,0,0,0,0
BMRI.JK,2020Q4,34.81507871,85.1816263,30.89985366,-9.078256217,0.226532498,#VALUE!,1,0,3,0,1,0,0
BMRI.JK,2019Q4,34.72297294,90.16367692,30.99502467,16.57551991,0.579595009,#VALUE!,0,1,3,0,0,0,0
BMSR.JK,2020Q4,27.23282062,145.5682398,27.39391031,-9.14578335,2.947173791,9.647310381,1,0,6,1,1,1,0
BMSR.JK,2019Q4,27.27706258,279.5529008,27.48982429,21.43500568,0.119701993,0.498683617,0,1,6,1,0,0,0
BMTR.JK,2020Q4,31.05107165,95.24218239,28.82814784,10.09628879,1.29342668,1.702719065,1,0,4,1,1,1,0
BMTR.JK,2019Q4,30.99634939,133.6949821,28.73196269,11.57535558,1.83441234,2.905142745,0,1,4,1,0,0,0
BNBR.JK,2020Q4,30.29578365,92.29766566,27.3597385,-24.55986717,-4.67945315,-39.41897813,1,0,4,1,1,1,0
BNBR.JK,2019Q4,30.29373275,88.51594888,27.64156929,36.16274793,3.464455938,18.5720139,0,1,4,1,0,0,0
BNGA.JK,2020Q4,33.24585298,51.85446411,29.09072787,6.255862379,0.052515696,#VALUE!,1,0,3,0,1,0,0
BNGA.JK,2019Q4,33.21745108,53.43410215,29.03004807,-1.269018709,0.359464321,#VALUE!,0,1,3,0,0,0,0
BNII.JK,2020Q4,32.76140983,83.1118295,28.65314897,-1.483017877,0.095607784,#VALUE!,1,0,3,0,1,0,0
BNII.JK,2019Q4,32.81017682,95.71201066,28.66809022,8.193304062,0.441448131,#VALUE!,0,1,3,0,0,0,0
BNLI.JK,2020Q4,32.71522441,29.2253956,28.44830488,17.71481538,0.160133266,#VALUE!,1,0,#N/A,0,1,0,0
BNLI.JK,2019Q4,32.66075857,21.38461529,28.28521019,-19.79370327,0.257669716,#VALUE!,0,1,#N/A,0,0,0,0
BOGA.JK,2020Q4,27.0447043,9.856695823,26.00346385,19.05501822,0.204513817,0.274669559,1,0,2,0,1,0,0
BOGA.JK,2019Q4,27.04914053,14.25905228,25.82904831,83.41688438,0.404370511,0.524613572,0,1,2,0,0,0,0
BOLT.JK,2020Q4,27.86681419,43.44363395,26.41108336,-5.171526245,-3.111979353,-5.826097299,1,0,2,0,1,0,0
BOLT.JK,2019Q4,27.90286111,48.15415119,26.46418383,12.22943855,0.166595852,0.085988708,0,1,2,0,0,0,0
BPFI.JK,2020Q4,28.23075043,115.8371311,25.40184956,8.722407827,1.009609318,1.748615724,1,0,3,0,1,0,0
BPFI.JK,2019Q4,28.23409069,131.5707151,25.31822183,-4.218259384,0.868973727,1.940590286,0,1,3,0,0,0,0
BPII.JK,2020Q4,28.75281478,125.3802269,26.34138531,265.7409952,1.41862489,2.914972331,1,0,3,0,1,0,0
BPII.JK,2019Q4,28.70060161,144.2883479,25.04463008,-8.951238215,0.905834346,1.909480326,0,1,3,0,0,0,0
BRNA.JK,2020Q4,28.44776238,98.43285249,26.31569177,-17.61826341,-5.157302241,-11.01755109,1,0,6,1,1,1,0
BRNA.JK,2019Q4,28.53172142,83.89318226,26.50949819,-2.903702697,-3.007945668,-7.554216236,0,1,6,1,0,0,0
BRPT.JK,2020Q4,32.23310853,215.702454,29.79988213,-15.24993158,0.876034328,1.909509255,1,0,6,1,1,1,0
