Firm,Period,code,ICB Sector,ROA,ROE,TA,Total Liabilities,OI_GROWTH,REV_GROWTH,current_rat,quick_rat,Treated,After
ASRI.JK,2020Q2,ASRI.JK2020Q2,Real Estate Investment and Services Development,3.871606489,9,2.14312E+13,1.37714E+13,-102.0291286,3.59469142,0.54,0.39,1,1
ASSA.JK,2020Q2,ASSA.JK2020Q2,Consumer Services,-0.165937697,1,4.97979E+12,3.73529E+12,-37.72389666,22.62486965,0.62,0.58,1,1
ATIC.JK,2020Q2,ATIC.JK2020Q2,Software & Computer Services,-0.142794161,-2,4.76715E+12,3.97659E+12,177.6004331,4.035427299,1.1,0.76,1,1
AUTO.JK,2020Q2,AUTO.JK2020Q2,Automobiles and Parts,-2.795635407,-4,1.52518E+13,5.17133E+12,-369.1358103,-50.31151498,1.65,0.99,1,1
BAJA.JK,2020Q2,BAJA.JK2020Q2,Industrial Metals and Mining,11.38741992,396,7.76321E+11,8.86889E+11,-1579.737459,32.92140284,0.84,0.36,1,1
BALI.JK,2020Q2,BALI.JK2020Q2,Telecommunications Service Providers,0.514035532,1,4.41844E+12,2.37815E+12,17.96140278,24.8225503,0.52,0.43,0,1
BAPA.JK,2020Q2,BAPA.JK2020Q2,Real Estate Investment and Services Development,-0.09973312,0,1.4363E+11,10128780080,32.66672046,-84.36064608,14.48,0.35,1,1
BATA.JK,2020Q2,BATA.JK2020Q2,Personal Goods,-0.878800031,-1,9.74116E+11,3.28778E+11,-300.1316713,-19.45829378,1.57,0.59,1,1
BAYU.JK,2020Q2,BAYU.JK2020Q2,Travel and Leisure,-1.300081118,-2,7.41418E+11,3.18203E+11,-63.31261905,-91.96618253,2,2,1,1
BBLD.JK,2020Q2,BBLD.JK2020Q2,Finance and Credit Services,-0.0558596,0,4.7868E+12,3.81828E+12,-1.480737239,-17.74718631,6.3,6.3,0,1
BBRM.JK,2020Q2,BBRM.JK2020Q2,Industrial Transportation,-1.748550492,-8,1.21704E+12,9.41498E+11,49.68257944,-9.437937415,0.16,0.16,1,1
BCAP.JK,2020Q2,BCAP.JK2020Q2,Investment Banking and Brokerage Services,-0.033830637,0,1.74313E+13,1.34657E+13,-28.74205209,-16.66757631,0.41,0.41,1,1
BELL.JK,2020Q2,BELL.JK2020Q2,Personal Goods,-0.372605638,-1,6.55208E+11,4.12376E+11,-74.06900483,-6.398435994,1.37,0.63,1,1
BEST.JK,2020Q2,BEST.JK2020Q2,Real Estate Investment and Services Development,2.9321689,4,6.39526E+12,1.9642E+12,-20.23269421,-18.87384785,12.92,7,1,1
BFIN.JK,2020Q2,BFIN.JK2020Q2,Investment Banking and Brokerage Services,0.022606467,0,1.72851E+13,1.11345E+13,-65.12338799,-15.65480235,6.67,6.67,1,1
BHIT.JK,2020Q2,BHIT.JK2020Q2,Telecommunications Service Providers,1.568293601,3,5.64995E+13,4.50592E+13,2.421166632,-15.87811048,0.5,0.5,0,1
BIKA.JK,2020Q2,BIKA.JK2020Q2,Real Estate Investment and Services Development,-1.398045,-4,2.33103E+12,2.06464E+12,268.8469073,-52.01645207,3.22,0.26,1,1
BIPI.JK,2020Q2,BIPI.JK2020Q2,"Oil, Gas and Coal",0.550716995,2,1.73993E+13,1.56296E+13,-22.90593701,36.58528692,1.15,1.15,0,1
BIPP.JK,2020Q2,BIPP.JK2020Q2,Real Estate Investment and Services Development,0.862975208,1,2.1521E+12,1.3212E+12,-4493.168046,137.4185407,2.17,0.62,1,1
BIRD.JK,2020Q2,BIRD.JK2020Q2,Travel and Leisure,-1.418491616,-2,7.63014E+12,2.41462E+12,-190.0697293,-71.62506303,1.79,1.76,1,1
BISI.JK,2020Q2,BISI.JK2020Q2,Food Producers,2.455600763,3,2.80098E+12,3.89208E+11,339.5594059,12.98190892,6.58,3.63,0,1
BKDP.JK,2020Q2,BKDP.JK2020Q2,Real Estate Investment and Services Development,-0.792297524,-1,8.18758E+11,3.20581E+11,18.5373753,-39.62482024,6.58,3.63,1,1
BKSL.JK,2020Q2,BKSL.JK2020Q2,Real Estate Investment and Services Development,-1.060730209,-2,1.86125E+13,9.26118E+12,-245.3890215,-48.72062699,1.3,0.41,1,1
BLTA.JK,2020Q2,BLTA.JK2020Q2,Industrial Transportation,2.589568616,6,1.00287E+12,5.97324E+11,394.6564494,8.985969498,0.74,0.69,1,1
BLTZ.JK,2020Q2,BLTZ.JK2020Q2,Media,-4.576558777,-12,2.76639E+12,1.77581E+12,-430.1954932,-100,0.3,0.27,1,1
BMSR.JK,2020Q2,BMSR.JK2020Q2,Real Estate Investment and Services Development,-1.888603139,-9,5.77347E+11,6.05411E+11,-64.9597809,-22.08695475,1.3,1.3,1,1
BMTR.JK,2020Q2,BMTR.JK2020Q2,Media,2.490825441,4,3.09012E+13,1.99231E+13,-55.69366203,-14.55644289,1.63,0.97,1,1
BOGA.JK,2020Q2,BOGA.JK2020Q2,Retailers,0.313060744,0,5.92121E+11,1.78092E+11,14.67915598,-52.37674369,1.42,0.85,1,1
BOLT.JK,2020Q2,BOLT.JK2020Q2,Automobiles and Parts,-1.796213688,-3,1.14972E+12,4.66537E+11,1843.315019,-70.52773187,2.71,0.49,1,1
BPFI.JK,2020Q2,BPFI.JK2020Q2,Investment Banking and Brokerage Services,0.231099563,0,1.61358E+12,7.75273E+11,-79.92454258,-14.14817041,8.76,8.76,1,1
BPII.JK,2020Q2,BPII.JK2020Q2,Industrial Support Services,0.691999788,2,2.42383E+12,1.44791E+12,-23.42815221,-7.901327172,3.29,3.29,1,1
BRAM.JK,2020Q2,BRAM.JK2020Q2,Chemicals,-0.128162378,0,3.77772E+12,9.59065E+11,-96.31222058,-54.75078764,2.99,1.51,0,1
BRNA.JK,2020Q2,BRNA.JK2020Q2,General Industrials,-0.756952744,-2,2.1676E+12,1.38788E+12,1181.48109,-7.866701592,0.77,0.45,1,1
BRPT.JK,2020Q2,BRPT.JK2020Q2,Construction and Materials,0.142462559,-1,1.01762E+14,8.36313E+13,-68.96872399,-20.16984024,1.88,1.6,0,1
BSDE.JK,2020Q2,BSDE.JK2020Q2,Real Estate Investment and Services Development,-0.538147555,-1,6.04118E+13,3.23061E+13,-27.51413324,-57.29699498,2.39,1.52,1,1
BSSR.JK,2020Q2,BSSR.JK2020Q2,"Oil, Gas and Coal",2.953514518,4,3.6176E+12,1.16721E+12,416.5307283,-22.23304958,1.46,1.3,0,1
BTEK.JK,2020Q2,BTEK.JK2020Q2,Food Producers,-2.607240043,-7,5.21586E+12,3.69817E+12,-121.7756968,57.31090234,1.34,0.48,0,1
BTON.JK,2020Q2,BTON.JK2020Q2,Industrial Metals and Mining,-9.624842886,-12,2.4914E+11,56218326280,17449.61323,-6.183479361,3.74,3.56,1,1
BUDI.JK,2020Q2,BUDI.JK2020Q2,Food Producers,0.271640163,1,2.9143E+12,1.65027E+12,-17.40055739,-17.40738945,1.04,0.53,0,1
BUKK.JK,2020Q2,BUKK.JK2020Q2,Construction and Materials,2.110012701,4,4.80782E+12,2.14654E+12,38.58362762,-17.9494862,1.15,0.72,0,1
BULL.JK,2020Q2,BULL.JK2020Q2,Industrial Transportation,1.804129615,4,1.0004E+13,6.2811E+12,208.6158918,117.2258835,1.4,1.34,1,1
BUVA.JK,2020Q2,BUVA.JK2020Q2,Real Estate Investment and Services Development,-0.873686161,-2,3.67367E+12,1.95663E+12,-33.13896854,-97.98729842,0.24,0.24,1,1
BWPT.JK,2020Q2,BWPT.JK2020Q2,Food Producers,-1.802662494,-6,1.55867E+13,1.14718E+13,-16.64453989,-15.36833147,0.49,0.41,0,1
BYAN.JK,2020Q2,BYAN.JK2020Q2,"Oil, Gas and Coal",2.588452261,6,1.96671E+13,1.11853E+13,-58.871006,-24.79510807,2.42,1.98,0,1
CARS.JK,2020Q2,CARS.JK2020Q2,Retailers,-1.071202624,-5,7.08531E+12,6.04767E+12,-63.89882536,-62.98062712,1.64,1.57,1,1
CASS.JK,2020Q2,CASS.JK2020Q2,Industrial Transportation,-11.80376743,-37,1.61244E+12,1.17324E+12,519.4620447,-8.007022593,0.8,0.77,1,1
CEKA.JK,2020Q2,CEKA.JK2020Q2,Food Producers,0.041231238,0,1.36923E+12,1.71004E+11,-110.3102861,-6.007875128,2.5,1.45,0,1
CENT.JK,2020Q2,CENT.JK2020Q2,Telecommunications Service Providers,-0.475020975,-1,8.02876E+12,3.38914E+12,5.769993099,42.64101903,0.36,0.35,0,1
CFIN.JK,2020Q2,CFIN.JK2020Q2,Finance and Credit Services,0.082650493,0,1.11552E+13,6.35928E+12,-42.76847378,-21.72717763,8.99,8.99,0,1
CINT.JK,2020Q2,CINT.JK2020Q2,Household Goods and Home Construction,0.095305069,0,5.1764E+11,1.36844E+11,-108.6512262,-16.48289722,2.51,0.94,0,1
CITA.JK,2020Q2,CITA.JK2020Q2,Industrial Metals and Mining,4.212568879,5,4.36282E+12,1.12604E+12,15.24245177,37.22006843,2.47,1.78,1,1
CLEO.JK,2020Q2,CLEO.JK2020Q2,Beverages,2.194226497,4,1.3397E+12,5.11401E+11,-7.362267025,-17.1433031,1.31,0.75,0,1
CLPI.JK,2020Q2,CLPI.JK2020Q2,Chemicals,0.463878089,1,7.17529E+11,2.30017E+11,-26.45871981,-0.714975131,2.55,1.75,0,1
CMNP.JK,2020Q2,CMNP.JK2020Q2,Industrial Transportation,0.439372299,1,1.56389E+13,8.168E+12,-10.47339343,-45.92884735,1.62,1.62,1,1
COWL.JK,2020Q2,COWL.JK2020Q2,Real Estate Investment and Services Development,-0.527877028,-2,3.73301E+12,2.65054E+12,463.7442172,-35.31495608,1.38,0.24,1,1
CPIN.JK,2020Q2,CPIN.JK2020Q2,Food Producers,2.32672106,3,3.20047E+13,8.77054E+12,18.27705835,-9.303397138,2.52,1.29,0,1
CSAP.JK,2020Q2,CSAP.JK2020Q2,Retailers,0.212796852,1,6.70961E+12,5.24299E+12,21.39569509,-1.961911414,1.14,0.54,1,1
CTRA.JK,2020Q2,CTRA.JK2020Q2,Real Estate Investment and Services Development,-0.058586788,0,3.78842E+13,2.31599E+13,-26.75105981,-13.61599428,2.34,0.83,1,1
CTTH.JK,2020Q2,CTTH.JK2020Q2,Construction and Materials,-0.079179869,0,7.45465E+11,4.71279E+11,-172.4010115,-15.72495766,1.62,0.56,0,1
DART.JK,2020Q2,DART.JK2020Q2,Real Estate Investment and Services Development,-1.694180748,-4,6.6982E+12,3.52627E+12,-50.59041707,-42.67754525,0.17,0.16,1,1
DAYA.JK,2020Q2,DAYA.JK2020Q2,Retailers,-3.135725485,-15,6.89702E+11,5.54225E+11,-700.89473,-41.05026867,0.69,0.16,1,1
DEFI.JK,2020Q2,DEFI.JK2020Q2,Investment Banking and Brokerage Services,-0.114586428,0,96922043090,725353160,291.0986686,-21.08069254,8.44,8.44,1,1
DEWA.JK,2020Q2,DEWA.JK2020Q2,Industrial Metals and Mining,0.126779927,0,8.78206E+12,4.95463E+12,806.9181924,41.97469433,1.14,0.98,1,1
DGIK.JK,2020Q2,DGIK.JK2020Q2,Construction and Materials,-0.620032155,-1,1.21016E+12,6.2575E+11,-24.56596951,-55.76885465,1.56,1.55,0,1
