Firm,Period,ICB Sector,ROA_in_percent,TA,Total Liabilities,FCF,GROWTH_YoY_in_percent,Treated,After_YoY,
BNBR.JK,2019Q2,Industrial Metals and Mining,1.295557059,14445209000000,11722562000000,187044000000,-7.665881253,1,0,
BNBR.JK,2020Q2,Industrial Metals and Mining,1.004340247,15128154000000,12951030000000,170040000000,-226.3621311,1,1,
BPFI.JK,2019Q2,Investment Banking and Brokerage Services,1.091532355,1757788605630,946501533190,12019100890,0.616895351,1,0,
BPFI.JK,2020Q2,Investment Banking and Brokerage Services,0.231099563,1613581425620,775273244450,5748662510,-79.92454258,1,1,
BPII.JK,2019Q2,Industrial Support Services,3.045380754,2695963049760,1872816865920,70525921390,323.6844741,1,0,
BPII.JK,2020Q2,Industrial Support Services,0.691999788,2423830236840,1447913358500,63251481220,-23.42815221,1,1,
BPTR.JK,2019Q2,Industrial Transportation,0.549468894,534718173090,322400791300,29553204480,-3.430743293,1,0,
BPTR.JK,2020Q2,Industrial Transportation,0.04330612,517981219740,296823303340,10867007260,-33.58096745,1,1,
BSDE.JK,2019Q2,Real Estate Investment and Services Development,2.905582431,53306109945070,25676033944460,686058735250,18.52684682,1,0,
BSDE.JK,2020Q2,Real Estate Investment and Services Development,-0.538147555,60411848311460,32306113309600,207796381130,-27.51413324,1,1,
BTEK.JK,2019Q2,Food Producers,-0.002183173,5209268703090,2980279413490,11028895130,-34.56894464,0,0,
BTEK.JK,2020Q2,Food Producers,-2.607240043,5215861754940,3698169275910,10358140550,-121.7756968,0,1,
BTON.JK,2020Q2,Industrial Metals and Mining,-9.624842886,249140434390,56218326280,28965495370,17449.61323,1,1,
BTON.JK,2019Q2,Industrial Metals and Mining,0.050152522,231113310700,35859538800,34574320,-98.27064758,1,0,
BUDI.JK,2019Q2,Food Producers,0.403724275,3114499000000,2145351000000,41945000000,26.6173357,0,0,
BUDI.JK,2020Q2,Food Producers,0.271640163,2914295000000,1650265000000,45336000000,-17.40055739,0,1,
BUKK.JK,2020Q2,Construction and Materials,2.110012701,4807822517000,2146544315000,134181335000,38.58362762,0,1,
BUKK.JK,2019Q2,Construction and Materials,1.537555844,4631503605000,2414583333000,90380408000,-15.77922756,0,0,
BYAN.JK,2019Q2,"Oil, Gas and Coal",7.698277481,19647693635000,11911499641250,1371706576250,-38.82476196,0,0,
BYAN.JK,2020Q2,"Oil, Gas and Coal",2.588452261,19667092374600,11185294604000,455782777000,-58.871006,0,1,
CAMP.JK,2019Q2,Food Producers,1.319595488,1054077089980,161911327230,10840701320,-11.2999441,0,0,
CAMP.JK,2020Q2,Food Producers,0.305404043,1070968299750,121569825130,10146097940,-90.1146573,0,1,
CFIN.JK,2019Q2,Finance and Credit Services,0.689538179,12143223223000,7634455642000,73399669000,23.74229419,0,0,
CFIN.JK,2020Q2,Finance and Credit Services,0.082650493,11155216433000,6359275238000,12094948000,-42.76847378,0,1,
CITA.JK,2019Q2,Industrial Metals and Mining,6.517878323,3739180216280,1636982688730,280293480830,172.5144341,1,0,
CITA.JK,2020Q2,Industrial Metals and Mining,4.212568879,4362823253710,1126041375910,276660139080,15.24245177,1,1,
CLPI.JK,2019Q2,Chemicals,0.633669899,708823285520,211299372120,18781602410,107.0964137,0,0,
CLPI.JK,2020Q2,Chemicals,0.463878089,717528627320,230017251280,5909196500,-26.45871981,0,1,
CPIN.JK,2020Q2,Food Producers,2.32672106,32004676000000,8770542000000,577193000000,18.27705835,0,1,
CPIN.JK,2019Q2,Food Producers,3.202589388,28631015000000,8390621000000,511529000000,-24.89581524,0,0,
CTBN.JK,2020Q2,Industrial Metals and Mining,0.955918994,1974491973000,502482763600,39309087000,96.32936257,1,1,
CTBN.JK,2019Q2,Industrial Metals and Mining,0.605628138,2300176161250,877074077500,22073137500,-30.19970264,1,0,
CTRA.JK,2019Q2,Real Estate Investment and Services Development,0.065420669,35076644000000,19760852000000,262213000000,61.37729314,1,0,
CTRA.JK,2020Q2,Real Estate Investment and Services Development,-0.058586788,37884189000000,23159890000000,183004000000,-26.75105981,1,1,
DEFI.JK,2020Q2,Investment Banking and Brokerage Services,-0.114586428,96922043090,725353160,624933820,291.0986686,1,1,
DEFI.JK,2019Q2,Investment Banking and Brokerage Services,-0.026961428,87949892870,901561450,172093570,-35.88304967,1,0,
DIGI.JK,2020Q2,Media,-9.082590161,38244299840,3221148060,2240984460,217.6075836,1,1,
DIGI.JK,2019Q2,Media,0.02684871,40733558750,2552524200,1836120310,-77.81515048,1,0,
DILD.JK,2020Q2,Real Estate Investment and Services Development,0.0001501,15917280081410,10753016969710,83481261520,50.42566287,1,1,
DILD.JK,2019Q2,Real Estate Investment and Services Development,-0.183575757,14576966335850,8222636499930,106162742140,13.35284085,1,0,
DIVA.JK,2019Q2,Software & Computer Services,2.347394718,881108758950,154149108670,24403428750,77.11118181,1,0,
DIVA.JK,2020Q2,Software & Computer Services,0.740200496,1069857566400,281182424660,9570144690,-7.613396598,1,1,
DLTA.JK,2019Q2,Beverages,3.46242245,1626140030000,235193982000,87271852000,-8.143168053,0,0,
DLTA.JK,2020Q2,Beverages,-0.54873104,1406321516000,194328999000,44514972000,-50.098553,0,1,
DMAS.JK,2019Q2,Real Estate Investment and Services Development,7.889014003,7464492709690,665900997220,611674581610,764.8601145,1,0,
DMAS.JK,2020Q2,Real Estate Investment and Services Development,0.348766821,6987604175310,1537090997900,30015547750,-93.75179438,1,1,
DPNS.JK,2020Q2,Chemicals,-0.476069805,321478340640,79165308880,2306145130,13.1746097,0,1,
DPNS.JK,2019Q2,Chemicals,-0.079639184,327625709500,77459989100,2557279510,8.350734671,0,0,
DSFI.JK,2019Q2,Food Producers,0.857481994,402147990150,209831157010,3202905540,18.11764381,0,0,
DSFI.JK,2020Q2,Food Producers,-2.093608652,377347388460,199335899700,2104935380,-67.82894914,0,1,
DSNG.JK,2019Q2,Construction and Materials,0.0198857,11295607000000,7848124000000,61555000000,57.8249215,0,0,
DSNG.JK,2020Q2,Construction and Materials,0.821271894,11709863000000,8281825000000,48126000000,44.15544082,0,1,
DSSA.JK,2020Q2,Electricity,0.425528311,54566632573600,35072074300000,590747534000,2.077383097,1,1,
DSSA.JK,2019Q2,Electricity,0.236385259,53673518993750,30413414584800,566671577550,-16.28922251,1,0,
DUTI.JK,2019Q2,Real Estate Investment and Services Development,2.070969739,13008192571630,5057708234280,249972533210,-20.3181948,1,0,
