Firm,Period,code,ICB Sector,ROA,ROE,TA,Total Liabilities,OI_GROWTH,REV_GROWTH,current_rat,quick_rat,Treated,After
ZINC.JK,2019Q2,ZINC.JK2019Q2,Industrial Metals and Mining,4.004027402,7.852383399,1.30E+12,6.78E+11,45.93197141,24.03658396,1.61,0.69,0,1
AALI.JK,2018Q2,AALI.JK2018Q2,Food Producers,1.689546944,2.312828037,2.68E+13,8.35E+12,57.95745056,12.81282649,1.55,0.65,1,0
ABBA.JK,2018Q2,ABBA.JK2018Q2,Industrial Support Services,-7.515889361,-22.06972933,4.28E+11,3.19E+11,-65.58369735,-14.07237165,0.83,0.78,0,0
ABMM.JK,2018Q2,ABMM.JK2018Q2,"Oil, Gas and Coal",0.708811535,3.777518366,1.43E+13,1.18E+13,-9.618847316,12.75992591,1.77,1.6,1,0
ACES.JK,2018Q2,ACES.JK2018Q2,Retailers,4.622061978,5.775129298,4.67E+12,9.16E+11,2.822785786,21.54219331,6.81,2.23,0,0
ACST.JK,2018Q2,ACST.JK2018Q2,Construction and Materials,0.531589004,2.38629792,7.06E+12,5.62E+12,126.4340501,79.15174776,1.17,1.08,1,0
ADES.JK,2018Q2,ADES.JK2018Q2,Beverages,0.939307918,1.826829127,8.63E+11,4.14E+11,11.54025998,-2.518401304,1.41,0.97,1,0
ADHI.JK,2018Q2,ADHI.JK2018Q2,Construction and Materials,0.519814856,2.349135359,2.65E+13,2.06E+13,18.94087347,0.179165936,1.43,1.12,1,0
ADMF.JK,2018Q2,ADMF.JK2018Q2,Finance and Credit Services,1.447092133,7.074456224,2.98E+13,2.38E+13,12.27460262,11.42739818,0.14,0.14,1,0
ADMG.JK,2018Q2,ADMG.JK2018Q2,Chemicals,2.144506493,2.959979834,4.46E+12,1.87E+12,-19.71629552,35.28094261,3,1.8,1,0
ADRO.JK,2018Q2,ADRO.JK2018Q2,"Oil, Gas and Coal",2.013126642,3.407875173,9.72E+13,4.41E+13,-8.231161293,10.587916,2.16,2.01,1,0
AGII.JK,2018Q2,AGII.JK2018Q2,Chemicals,0.247955183,0.455708988,6.56E+12,3.39E+12,5.510692884,4.506238188,1.66,1.23,1,0
AKKU.JK,2018Q2,AKKU.JK2018Q2,General Industrials,-0.181805117,-0.26858949,1.13E+12,3.68E+11,468.4650988,-89.29661628,2.6,0.22,0,0
AKPI.JK,2018Q2,AKPI.JK2018Q2,Chemicals,-0.183032177,-0.457537686,3.03E+12,1.70E+12,-1.780977657,15.73236712,1.06,0.7,1,0
AKRA.JK,2018Q2,AKRA.JK2018Q2,"Oil, Gas and Coal",0.918120804,2.19614909,1.93E+13,1.09E+13,-45.84250855,10.26521061,1.66,1.03,1,0
AKSI.JK,2018Q2,AKSI.JK2018Q2,Investment Banking and Brokerage Services,-5.636392843,-8.795155166,1.59E+11,37122914190,1038.638992,-34.67414111,2.64,2.64,0,0
