Firm,Period,SIZE,LEV,REV,GROWTH,ROA,ROE,FE_2020Q2,FE_2019Q2,FE_Sector,Treat,After,DiD,Delete
BLTA.JK,2020Q3,27.64315278,108.6383014,25.00338951,-18.71489397,2.589568616,5.590901446,1,0,6,1,1,1,0
BLTA.JK,2019Q3,27.76494885,105.3190099,25.2105969,23.65232527,0.138908802,0.336948862,0,1,6,1,0,0,0
BMRI.JK,2020Q3,34.78224825,86.04289691,30.85163906,11.50597593,0.280606767,#VALUE!,1,0,0,0,1,0,0
BMRI.JK,2019Q3,34.69889058,83.91873498,30.74273106,3.339917015,0.553505266,#VALUE!,0,1,0,0,0,0,0
BMSR.JK,2020Q3,27.08373193,167.5474589,27.18072437,-13.65773109,-1.888603139,-8.746390485,1,0,0,1,1,1,0
BMSR.JK,2019Q3,27.00581774,165.0339433,27.32757529,23.72488666,-0.31350438,-1.20820414,0,1,0,1,0,0,0
BMTR.JK,2020Q3,31.01873744,104.0377901,28.87052717,11.21534208,2.490825441,3.732912561,1,0,3,0,1,0,0
BMTR.JK,2019Q3,30.98941597,128.3447353,28.76422902,0.6014833,1.92983822,3.251325106,0,1,3,0,0,0,0
BNGA.JK,2020Q3,33.20248639,37.64981331,29.11138307,8.165392625,0.042897581,#VALUE!,1,0,0,0,1,0,0
BNGA.JK,2019Q3,33.19403598,26.81799075,29.03289178,1.978324674,0.262147045,#VALUE!,0,1,0,0,0,0,0
BNII.JK,2020Q3,32.81196608,91.51711878,28.66007001,7.758578531,0.169348446,#VALUE!,1,0,0,0,1,0,0
BNII.JK,2019Q3,32.78597929,104.096229,28.58534686,0.809020534,0.208643971,#VALUE!,0,1,0,0,0,0,0
BNLI.JK,2020Q3,32.67495924,17.63751619,28.31303455,8.085941684,0.038976932,#VALUE!,1,0,0,0,1,0,0
BNLI.JK,2019Q3,32.67925623,22.02565266,28.23527806,-6.41216775,0.251758502,#VALUE!,0,1,0,0,0,0,0
BOGA.JK,2020Q3,27.01656042,7.405502716,25.89989525,7.972941726,0.313060744,0.437453895,1,0,2,1,1,1,0
BOGA.JK,2019Q3,27.01934829,15.11297514,25.82318478,96.55409869,0.492010624,0.64062813,0,1,2,1,0,0,0
BOLT.JK,2020Q3,27.87911494,44.05558496,26.48786869,-1.280825418,-0.961014274,-1.482373519,1,0,2,1,1,1,0
BOLT.JK,2019Q3,27.88168421,49.61686401,26.50075968,14.99674635,2.321910445,4.072840346,0,1,2,1,0,0,0
BPFI.JK,2020Q3,28.21653284,118.5318451,25.43089824,2.780116591,0.260101494,0.477871131,1,0,0,0,1,0,0
BPFI.JK,2019Q3,28.27184529,138.3488859,25.40347651,27.07515324,1.084982931,2.392096685,0,1,0,0,0,0,0
BRNA.JK,2020Q3,28.52725962,98.65640238,26.50820536,-3.629138675,-1.78772884,-4.384363785,1,0,0,1,1,1,0
BRNA.JK,2019Q3,28.42083823,117.2131318,26.54517166,3.519924334,-1.321140937,-3.149205014,0,1,0,1,0,0,0
BRPT.JK,2020Q3,32.21736422,219.1303342,29.5282977,-44.55559171,0.713065486,1.569403098,1,0,0,1,1,1,0
BRPT.JK,2019Q3,32.24218406,206.9110059,30.11808702,22.41125999,0.355319635,0.168868732,0,1,0,1,0,0,0
BSDE.JK,2020Q3,31.60634104,44.95062539,28.11913167,-2.274078222,1.060518475,1.881699627,1,0,0,0,1,0,0
BSDE.JK,2019Q3,31.59034656,55.02130146,28.14213501,3.311192487,0.503920258,0.764801003,0,1,0,0,0,0,0
BSSR.JK,2020Q3,28.90686973,10.73612832,27.99209217,-22.09706303,2.772968228,3.881526812,1,0,5,1,1,1,0
BSSR.JK,2019Q3,28.95456545,9.444761701,28.2417987,36.05076631,4.607079644,7.182022327,0,1,5,1,0,0,0
BTEK.JK,2020Q3,29.2814606,97.65064912,25.88220617,-29.18655645,-2.607240043,-6.750082102,1,0,1,0,1,0,0
BTEK.JK,2019Q3,29.30323936,95.79660846,26.2273275,-8.547585265,-0.002183173,-0.005131906,0,1,1,0,0,0,0
BUDI.JK,2020Q3,28.77956102,118.5255896,27.53823784,4.468915778,0.210359981,0.427689115,1,0,1,0,1,0,0
BUDI.JK,2019Q3,28.81403766,121.3795834,27.49451846,22.54724031,0.531837161,1.387219597,0,1,1,0,0,0,0
BUKK.JK,2020Q3,29.23782693,35.47473873,28.25305341,42.52060278,1.534390568,2.7392537,1,0,4,1,1,1,0
BUKK.JK,2019Q3,29.06321807,51.2341353,27.89873702,140.4026685,6.130989603,12.46948972,0,1,4,1,0,0,0
BULL.JK,2020Q3,29.32200114,70.0632822,26.60467109,4.739155686,1.804129615,4.053467365,1,0,5,1,1,1,0
BULL.JK,2019Q3,29.13118541,77.03061945,26.55836824,59.1668194,1.542444368,2.584375177,0,1,5,1,0,0,0
BUVA.JK,2020Q3,29.04910708,77.3556952,25.52399971,97.81411267,-0.835028349,-1.94379789,1,0,2,1,1,1,0
BUVA.JK,2019Q3,28.93351584,100.1617469,24.84184213,31.02148067,-1.090700958,-1.806677053,0,1,2,1,0,0,0
BVIC.JK,2020Q3,31.02378075,114.3680022,25.76423817,-31.14755376,0.002139583,#VALUE!,1,0,0,0,1,0,0
BVIC.JK,2019Q3,30.94366632,112.5237811,26.1374426,-2.709418539,0.008395487,#VALUE!,0,1,0,0,0,0,0
BWPT.JK,2020Q3,30.40689406,190.7000254,26.99535763,-44.80435492,-2.163610676,-8.227590402,1,0,1,0,1,0,0
BWPT.JK,2019Q3,30.42315177,140.5605427,27.58964376,29.79117714,-1.809459292,-5.594089026,0,1,1,0,0,0,0
BYAN.JK,2020Q3,30.36644597,32.72071002,29.02255058,-33.41232477,3.090683419,6.653155406,1,0,5,1,1,1,0
BYAN.JK,2019Q3,30.42790317,3.57313736,29.42920126,52.19960844,2.620957749,5.478453618,0,1,5,1,0,0,0
CARS.JK,2020Q3,29.74091834,337.7987728,28.27725139,0.534880822,-1.071202624,-4.790227009,1,0,2,1,1,1,0
CARS.JK,2019Q3,29.83705085,434.0790889,28.27191683,1.343158023,0.407317983,1.830653639,0,1,2,1,0,0,0
CASS.JK,2020Q3,28.34479903,69.6350653,26.96766088,7.497032517,5.019993244,8.158914259,1,0,4,1,1,1,0
CASS.JK,2019Q3,28.30875088,78.18724621,26.89536783,1.151764099,2.616234231,2.996106138,0,1,4,1,0,0,0
CENT.JK,2020Q3,29.36171124,64.57244575,26.03554528,9.601448296,-0.761483054,-2.41936819,1,0,4,1,1,1,0
CENT.JK,2019Q3,29.30407475,56.98302018,25.94386488,12.65714895,0.007386084,0.013643785,0,1,4,1,0,0,0
CINT.JK,2020Q3,26.94802904,13.11566628,25.41823708,3.312647773,-0.401728954,-0.415525101,1,0,2,1,1,1,0
CINT.JK,2019Q3,26.9305605,7.794889178,25.38564746,-12.06142559,1.93843875,2.545965455,0,1,2,1,0,0,0
CITA.JK,2020Q3,29.00984527,56.76613708,27.60299958,80.42929821,5.007180406,5.983358502,1,0,0,1,1,1,0
